city,country,population,lat,lon,temperature,windspeed,winddirection,pm25,pm10,no2,o3
Suzhou,China,8592820,31.311123,120.6212881,11.6,15.0,66.0,31.4,34.2,52.0,35.0
Hangzhou,China,8591040,30.2489634,120.2052342,12.6,14.8,86.0,18.0,21.8,24.0,70.0
Surat,India,8581730,21.2094892,72.8317058,30.9,6.4,74.0,35.4,35.5,33.6,105.0
Dar es Salaam,Tanzania,8561520,-6.8160837,39.2803583,31.7,9.7,48.0,5.6,7.6,1.1,66.0
New York City,United States,8412513,40.7127281,-74.0060152,-3.6,17.7,276.0,2.0,2.1,7.2,67.0
Baghdad,Iraq,8141120,33.3061701,44.3872213,14.8,6.5,161.0,21.0,24.1,50.0,25.0
Shenyang,China,7974270,41.8026095,123.4279105,-7.5,4.3,355.0,24.9,26.4,35.7,35.0
Riyadh,Saudi Arabia,7952860,24.638916,46.7160104,18.4,4.8,77.0,98.3,808.4,29.0,44.0
Foshan,China,7817160,23.0239788,113.1159558,22.9,7.9,114.0,42.8,43.2,36.4,112.0
Dongguan,China,7772860,23.0183568,113.7452332,23.8,7.6,87.0,29.7,30.2,15.3,122.0
